Date,Open,High,Low,Close,Volume
2020-06-15,27790.0,28040.0,26745.0,26745.0,536304
2020-06-16,27395.0,28330.0,27370.0,28330.0,369276
2020-06-17,28290.0,28485.0,27830.0,28280.0,315455
2020-06-18,28260.0,28310.0,27975.0,28195.0,242751
2020-06-22,27905.0,28330.0,27905.0,28090.0,141449
2020-06-23,28375.0,28560.0,27910.0,28190.0,420976
2020-06-24,28295.0,28800.0,28290.0,28635.0,373539
2020-06-25,28200.0,28385.0,27895.0,27895.0,129746
2020-06-26,28170.0,28435.0,28070.0,28300.0,1869219
2020-06-29,27995.0,28200.0,27750.0,27860.0,216449
2020-06-30,28250.0,28450.0,28085.0,28130.0,535938
2020-07-01,28390.0,28440.0,28035.0,28100.0,219271
2020-07-02,28185.0,28430.0,28160.0,28430.0,104814
2020-07-06,28755.0,29215.0,28745.0,29145.0,658096
2020-07-07,29405.0,29405.0,28795.0,28795.0,170183
2020-07-08,28805.0,28940.0,28665.0,28735.0,236174
2020-07-09,28860.0,29080.0,28855.0,28865.0,385131
2020-07-10,28905.0,28905.0,28450.0,28570.0,431305
2020-07-13,28865.0,29150.0,28775.0,29130.0,159511
2020-07-14,28945.0,29110.0,28800.0,29110.0,124683
2020-07-15,29380.0,29575.0,29230.0,29365.0,185714
2020-07-16,29325.0,29375.0,28965.0,29050.0,169078
2020-07-17,29080.0,29310.0,29080.0,29270.0,219443
2020-07-20,29380.0,29380.0,29020.0,29200.0,289345
2020-07-21,29485.0,29735.0,29460.0,29625.0,383398
2020-07-22,29545.0,29730.0,29475.0,29510.0,106136
2020-07-23,29510.0,29510.0,29135.0,29340.0,129743
2020-07-24,29095.0,29360.0,29080.0,29200.0,43782
2020-07-27,29180.0,29610.0,29180.0,29470.0,170692
2020-07-28,29735.0,30240.0,29710.0,30085.0,160094
2020-07-29,30085.0,30415.0,30060.0,30255.0,108685
2020-07-30,30365.0,30435.0,30220.0,30220.0,256052
2020-07-31,30350.0,30460.0,29920.0,29990.0,187003
2020-08-03,29975.0,30035.0,29795.0,29985.0,159397
2020-08-04,30210.0,30450.0,30195.0,30330.0,424920
2020-08-05,30395.0,30675.0,30305.0,30660.0,717669
2020-08-06,30790.0,31325.0,30790.0,31160.0,209310
2020-08-07,31230.0,31435.0,31015.0,31280.0,463730
2020-08-10,31260.0,31805.0,31235.0,31745.0,315376
2020-08-11,31745.0,32320.0,31745.0,32160.0,291094
2020-08-12,32020.0,32300.0,31790.0,32300.0,332114
2020-08-13,32590.0,32680.0,31960.0,32350.0,475672
2020-08-14,32260.0,32280.0,31700.0,31970.0,207950
2020-08-18,32090.0,32215.0,31215.0,31315.0,107516
2020-08-19,31570.0,31715.0,31375.0,31405.0,2014781
2020-08-20,31115.0,31295.0,30160.0,30205.0,225258
2020-08-21,30545.0,31025.0,30355.0,30645.0,382599
2020-08-24,30730.0,31040.0,30410.0,31000.0,2297621
2020-08-25,31210.0,31450.0,31115.0,31395.0,110121
2020-08-26,31390.0,31535.0,31010.0,31410.0,113072
2020-08-27,31495.0,31505.0,31145.0,31145.0,1088125
2020-08-28,31420.0,31625.0,31120.0,31275.0,160870
2020-08-31,31545.0,31645.0,30800.0,30810.0,105134
2020-09-01,30810.0,31120.0,30790.0,31020.0,195985
2020-09-02,31225.0,31320.0,30890.0,31185.0,135242
2020-09-03,31490.0,31775.0,31480.0,31660.0,488198
2020-09-04,30885.0,31255.0,30835.0,31210.0,192389
2020-09-07,31320.0,31445.0,31100.0,31360.0,176700
2020-09-08,31630.0,31785.0,31500.0,31755.0,280361
2020-09-09,31395.0,31585.0,31305.0,31380.0,270543
2020-09-10,31685.0,31795.0,31565.0,31685.0,798960
2020-09-11,31525.0,31670.0,31330.0,31670.0,76288
2020-09-14,31945.0,32135.0,31870.0,32075.0,486399
2020-09-15,32165.0,32360.0,32050.0,32325.0,606512
2020-09-16,32305.0,32425.0,32175.0,32240.0,313046
2020-09-17,32140.0,32180.0,31695.0,31770.0,353173
2020-09-18,31855.0,31960.0,31670.0,31880.0,207859
2020-09-21,31815.0,32115.0,31510.0,31590.0,438495
2020-09-22,31535.0,31595.0,30715.0,30865.0,210889
2020-09-23,31045.0,31120.0,30370.0,30975.0,854280
2020-09-24,30595.0,30690.0,30245.0,30245.0,641076
2020-09-25,30470.0,30530.0,30265.0,30420.0,188831
2020-09-28,30660.0,30915.0,30570.0,30840.0,115373
2020-09-29,31200.0,31240.0,30985.0,31100.0,234732
2020-10-05,31090.0,31580.0,31070.0,31485.0,190063
2020-10-06,31605.0,31755.0,31455.0,31540.0,254469
2020-10-07,31345.0,31860.0,31305.0,31860.0,218252
2020-10-08,32065.0,32140.0,31780.0,31855.0,227440
2020-10-12,31940.0,32105.0,31870.0,31995.0,352687
2020-10-13,32205.0,32205.0,31770.0,32025.0,178665
2020-10-14,32025.0,32040.0,31625.0,31700.0,494032
2020-10-15,31700.0,31700.0,31325.0,31470.0,182758
2020-10-16,31490.0,31615.0,31075.0,31280.0,1380889
2020-10-19,31305.0,31600.0,31305.0,31355.0,1627446
2020-10-20,31205.0,31570.0,31100.0,31570.0,602271
2020-10-21,31635.0,31760.0,31525.0,31665.0,492393
2020-10-22,31505.0,31510.0,31275.0,31450.0,89854
2020-10-23,31605.0,31675.0,31330.0,31565.0,357887
2020-10-26,31660.0,31770.0,31465.0,31485.0,233618
2020-10-27,31260.0,31465.0,31145.0,31215.0,261676
2020-10-28,31085.0,31390.0,31035.0,31390.0,185135
2020-10-29,30925.0,31035.0,30655.0,30995.0,325379
2020-10-30,30900.0,30900.0,30175.0,30195.0,250235
2020-11-02,30195.0,30665.0,30195.0,30630.0,225831
2020-11-03,30740.0,31275.0,30740.0,31235.0,326883
2020-11-04,31440.0,31605.0,31190.0,31415.0,571052
2020-11-05,31655.0,32150.0,31585.0,32135.0,338070
2020-11-06,32235.0,32455.0,32125.0,32220.0,533418
2020-11-09,32500.0,32850.0,32495.0,32595.0,578892
2020-11-10,32720.0,32720.0,32380.0,32595.0,498039
2020-11-11,32645.0,33185.0,32645.0,33125.0,504655
2020-11-12,33085.0,33155.0,32870.0,32965.0,983691
2020-11-13,32860.0,33325.0,32835.0,33310.0,321517
2020-11-16,33505.0,34125.0,33470.0,34040.0,259294
2020-11-17,34110.0,34220.0,33940.0,34015.0,602057
2020-11-18,34015.0,34185.0,33905.0,33985.0,629454
2020-11-19,33985.0,34020.0,33765.0,34020.0,216261
2020-11-20,33935.0,34165.0,33920.0,34055.0,468603
2020-11-23,34100.0,34890.0,34080.0,34825.0,643715
2020-11-24,34985.0,35245.0,34855.0,35030.0,766803
2020-11-25,35260.0,35370.0,34640.0,34815.0,367673
2020-11-26,34815.0,35170.0,34740.0,35170.0,476604
2020-11-27,35170.0,35295.0,35055.0,35250.0,350613
2020-11-30,35420.0,35530.0,34805.0,34805.0,435186
2020-12-01,34830.0,35365.0,34830.0,35255.0,420051
2020-12-02,35420.0,35940.0,35395.0,35880.0,869575
2020-12-03,36015.0,36180.0,35860.0,36135.0,848732
2020-12-04,36275.0,36990.0,36170.0,36780.0,909144
2020-12-07,37110.0,37155.0,36550.0,36995.0,585759
2020-12-08,36925.0,36960.0,36380.0,36380.0,664157
2020-12-09,36510.0,37190.0,36510.0,37175.0,486795
2020-12-10,36770.0,37275.0,36605.0,36960.0,774691
2020-12-11,37115.0,37445.0,37115.0,37255.0,246209
2020-12-14,37255.0,37455.0,37075.0,37120.0,182919
2020-12-15,37120.0,37185.0,36750.0,37120.0,540263
2020-12-16,37415.0,37475.0,37160.0,37265.0,285909
2020-12-17,37265.0,37290.0,36855.0,37230.0,340872
2020-12-18,37290.0,37360.0,37110.0,37185.0,227455
2020-12-21,37205.0,37265.0,36785.0,37235.0,115976
2020-12-22,37070.0,37170.0,36645.0,36645.0,234556
2020-12-23,36800.0,37195.0,36500.0,37140.0,206456
2020-12-24,37255.0,38035.0,37255.0,37910.0,359973
2020-12-28,38190.0,38410.0,37925.0,38065.0,529549
2020-12-29,38285.0,38765.0,38275.0,38710.0,370943
2020-12-30,38555.0,39635.0,38475.0,39580.0,396397
2021-01-04,39580.0,40665.0,39405.0,40605.0,405375
2021-01-05,40480.0,41220.0,40240.0,41220.0,226638
2021-01-06,41330.0,41730.0,40670.0,40810.0,455885
2021-01-07,41335.0,42130.0,41275.0,41765.0,441733
2021-01-08,42275.0,43880.0,42180.0,43640.0,623682
2021-01-11,43975.0,45505.0,42995.0,43735.0,2159406
2021-01-12,43470.0,43775.0,42195.0,43415.0,333499
2021-01-13,43395.0,43980.0,43120.0,43645.0,187885
2021-01-14,43505.0,43785.0,43370.0,43615.0,655688
2021-01-15,43910.0,44270.0,42625.0,42680.0,901841
2021-01-18,42335.0,42580.0,41545.0,41715.0,983352
2021-01-19,41915.0,43070.0,41710.0,42785.0,476048
2021-01-20,43575.0,43575.0,42555.0,43040.0,113577
2021-01-21,43365.0,43655.0,43120.0,43625.0,143545
2021-01-22,43685.0,44030.0,43335.0,43335.0,169229
2021-01-25,43365.0,44430.0,43365.0,44360.0,173367
2021-01-26,44360.0,44360.0,42950.0,43125.0,202457
2021-01-27,43415.0,43915.0,42865.0,42980.0,139659
2021-01-28,42085.0,42720.0,41895.0,42220.0,226124
2021-01-29,42585.0,42720.0,41015.0,41350.0,793221
2021-02-01,41000.0,42265.0,40825.0,42250.0,842411
2021-02-02,42600.0,43510.0,42445.0,42865.0,955536
2021-02-03,43265.0,43490.0,42670.0,43265.0,654376
2021-02-04,43120.0,43120.0,42205.0,42515.0,455978
2021-02-05,42785.0,43135.0,42515.0,43075.0,392202
2021-02-08,43075.0,43180.0,42580.0,42605.0,164939
2021-02-09,42875.0,43250.0,42495.0,42495.0,155495
2021-02-10,42545.0,42900.0,42200.0,42785.0,142543
2021-02-15,43395.0,43600.0,43275.0,43430.0,345950
2021-02-16,43645.0,43975.0,43370.0,43590.0,449827
2021-02-17,43475.0,43475.0,42820.0,43130.0,578723
2021-02-18,42915.0,43210.0,42475.0,42510.0,508564
2021-02-19,42510.0,42900.0,41815.0,42875.0,348414
2021-02-22,43170.0,43355.0,42375.0,42425.0,220144
2021-02-23,42215.0,42715.0,41825.0,42345.0,299172
2021-02-24,42345.0,42770.0,41420.0,41460.0,211818
2021-02-25,42295.0,43025.0,42010.0,42975.0,340361
2021-02-26,42075.0,42110.0,41405.0,41750.0,283600
2021-03-02,42665.0,43015.0,41920.0,42265.0,245712
2021-03-03,42295.0,42750.0,42040.0,42735.0,352425
2021-03-04,42305.0,42530.0,41890.0,42190.0,153888
2021-03-05,41570.0,42110.0,41345.0,41965.0,107623
2021-03-08,42220.0,42380.0,41490.0,41585.0,69884
2021-03-09,41585.0,41715.0,40680.0,41305.0,489173
2021-03-10,41985.0,41985.0,40975.0,41070.0,151997
2021-03-11,41240.0,42030.0,41240.0,41945.0,381760
2021-03-12,42190.0,42540.0,42125.0,42275.0,675480
2021-03-15,42275.0,42400.0,42035.0,42070.0,779065
2021-03-16,42320.0,42525.0,42180.0,42420.0,236452
2021-03-17,42460.0,42460.0,41835.0,42125.0,348485
2021-03-18,42475.0,42810.0,42395.0,42410.0,195428
2021-03-19,41815.0,42190.0,41750.0,41955.0,497062
2021-03-22,42115.0,42195.0,41725.0,42010.0,276328
2021-03-23,42385.0,42385.0,41590.0,41655.0,217795
2021-03-24,41345.0,41610.0,41115.0,41435.0,169325
2021-03-25,41375.0,41890.0,41305.0,41615.0,173726
2021-03-26,41755.0,42060.0,41685.0,42010.0,100770
2021-03-29,42110.0,42170.0,41785.0,41925.0,150241
2021-03-30,42080.0,42575.0,41995.0,42415.0,131939
2021-03-31,42415.0,42800.0,42275.0,42285.0,115579
2021-04-01,42620.0,42750.0,42425.0,42675.0,264379
2021-04-02,42990.0,43280.0,42990.0,43155.0,490461
2021-04-05,43300.0,43350.0,42990.0,43225.0,181656
2021-04-06,43495.0,43510.0,43075.0,43305.0,76009
2021-04-07,43395.0,43555.0,43250.0,43375.0,458993
2021-04-08,43375.0,43470.0,43180.0,43350.0,1257683
2021-04-09,43390.0,43585.0,43060.0,43175.0,191964
2021-04-12,43175.0,43365.0,43070.0,43175.0,353733
2021-04-13,43220.0,43800.0,43170.0,43660.0,155922
2021-04-14,43835.0,44010.0,43585.0,43940.0,205943
2021-04-15,43930.0,44230.0,43835.0,44010.0,584821
2021-04-16,44115.0,44125.0,43820.0,43960.0,187453
2021-04-19,43900.0,44220.0,43885.0,43965.0,287833
2021-04-20,43905.0,44295.0,43885.0,44220.0,135463
2021-04-21,44005.0,44005.0,43315.0,43475.0,696543
2021-04-22,43565.0,43805.0,43460.0,43545.0,67663
2021-04-23,43280.0,43670.0,43035.0,43535.0,90383
2021-04-26,43635.0,43960.0,43615.0,43930.0,190284
2021-04-27,43905.0,44020.0,43800.0,43970.0,122532
2021-04-28,43960.0,43960.0,43440.0,43530.0,59423
2021-04-29,42870.0,43085.0,42610.0,42650.0,232998
2021-04-30,42630.0,42695.0,42200.0,42315.0,176385
2021-05-03,42310.0,42700.0,42050.0,42090.0,173278
2021-05-04,42170.0,42445.0,42000.0,42430.0,139209
2021-05-06,42260.0,42725.0,42235.0,42680.0,1472139
2021-05-07,42715.0,43115.0,42695.0,42965.0,283048
2021-05-10,43160.0,43800.0,43130.0,43670.0,241854
2021-05-11,43550.0,43550.0,42770.0,42945.0,116841
2021-05-12,42945.0,42965.0,41930.0,42215.0,332847
2021-05-13,41525.0,42150.0,41525.0,41715.0,124789
2021-05-14,41900.0,42280.0,41865.0,42125.0,136399
2021-05-17,42295.0,42305.0,41700.0,41950.0,174729
2021-05-18,42100.0,42520.0,42095.0,42435.0,141845
2021-05-20,42145.0,42400.0,42045.0,42320.0,18611
2021-05-21,42425.0,42915.0,42205.0,42300.0,317272
2021-05-24,42300.0,42430.0,42075.0,42205.0,60427
2021-05-25,42415.0,42640.0,42295.0,42580.0,195805
2021-05-26,42580.0,42750.0,42415.0,42465.0,143362
2021-05-27,42470.0,42550.0,42115.0,42390.0,235371
2021-05-28,42425.0,42830.0,42425.0,42650.0,222175
2021-05-31,42910.0,42910.0,42500.0,42880.0,188073
2021-06-01,42860.0,43300.0,42770.0,43075.0,384986
2021-06-02,43075.0,43330.0,43000.0,43045.0,279050
2021-06-03,43170.0,43630.0,43170.0,43435.0,335859
2021-06-04,43260.0,43365.0,43000.0,43270.0,260613
2021-06-07,43510.0,43585.0,43145.0,43435.0,233244
2021-06-08,43420.0,43555.0,43295.0,43320.0,122965
2021-06-09,43270.0,43295.0,42850.0,42850.0,140779
2021-06-10,42850.0,43130.0,42815.0,42965.0,129454
2021-06-11,42985.0,43405.0,42985.0,43295.0,67474
2021-06-14,43310.0,43310.0,43135.0,43290.0,106733
2021-06-15,43290.0,43430.0,43235.0,43395.0,222278
2021-06-16,43350.0,43705.0,43330.0,43640.0,282676
2021-06-17,43415.0,43480.0,43240.0,43405.0,141238
2021-06-18,43465.0,43630.0,43410.0,43500.0,206963
2021-06-21,43180.0,43260.0,42920.0,43110.0,132914
2021-06-22,43310.0,43470.0,43290.0,43400.0,324274
2021-06-23,43525.0,43700.0,43440.0,43635.0,135662
2021-06-24,43695.0,43910.0,43695.0,43795.0,93145
2021-06-25,43965.0,44235.0,43940.0,44020.0,176576
2021-06-28,44050.0,44110.0,43850.0,43975.0,139275
2021-06-29,43975.0,43975.0,43670.0,43800.0,23568
2021-06-30,43820.0,44050.0,43820.0,43920.0,65557
2021-07-01,44080.0,44080.0,43610.0,43675.0,164854
2021-07-02,43675.0,43840.0,43620.0,43630.0,124209
2021-07-05,43800.0,43940.0,43765.0,43850.0,71495
2021-07-06,43920.0,44135.0,43920.0,44005.0,127535
2021-07-07,43895.0,43895.0,43650.0,43745.0,156134
2021-07-08,43795.0,43905.0,43305.0,43305.0,63651
2021-07-09,42960.0,43065.0,42480.0,42785.0,449263
2021-07-12,43185.0,43290.0,43105.0,43230.0,93703
2021-07-13,43420.0,43600.0,43420.0,43580.0,532965
2021-07-14,43500.0,43500.0,43275.0,43425.0,62489
2021-07-15,43485.0,43760.0,43450.0,43750.0,122593
2021-07-16,43655.0,43655.0,43380.0,43540.0,29873
2021-07-19,43220.0,43220.0,42970.0,43065.0,30465
2021-07-20,42780.0,42975.0,42710.0,42930.0,78026
2021-07-21,42990.0,43130.0,42680.0,42680.0,97223
2021-07-22,42850.0,43330.0,42850.0,43230.0,429749
2021-07-23,43230.0,43445.0,43200.0,43325.0,162174
2021-07-26,43330.0,43370.0,42880.0,42880.0,75727
2021-07-27,42985.0,43275.0,42945.0,42950.0,117566
2021-07-28,42950.0,43130.0,42730.0,43080.0,30786
2021-07-29,43160.0,43225.0,42940.0,43060.0,144204
2021-07-30,42970.0,42970.0,42505.0,42510.0,251067
2021-08-02,42605.0,42800.0,42450.0,42755.0,40716
2021-08-03,42735.0,43135.0,42735.0,43135.0,205329
2021-08-04,43235.0,43800.0,43180.0,43740.0,202226
2021-08-05,43790.0,43915.0,43585.0,43650.0,149832
2021-08-06,43650.0,43750.0,43355.0,43495.0,35303
2021-08-09,43300.0,43425.0,43125.0,43270.0,274380
2021-08-10,43310.0,43310.0,42830.0,42965.0,359400
2021-08-11,42950.0,42970.0,42575.0,42625.0,492842
2021-08-12,42645.0,42645.0,42290.0,42410.0,103899
2021-08-13,42330.0,42330.0,41530.0,41690.0,530997
2021-08-17,41690.0,41855.0,41165.0,41240.0,216765
2021-08-18,41415.0,41660.0,41050.0,41470.0,25041
2021-08-19,41300.0,41390.0,40625.0,40625.0,523263
2021-08-20,40700.0,40965.0,40090.0,40255.0,216718
2021-08-23,40560.0,40930.0,40385.0,40600.0,139648
2021-08-24,41025.0,41395.0,40900.0,41355.0,120460
2021-08-25,41445.0,41710.0,41215.0,41505.0,70924
2021-08-26,41630.0,41680.0,41100.0,41210.0,9682
2021-08-27,41145.0,41310.0,40860.0,41185.0,18883
2021-08-30,41595.0,41595.0,41160.0,41240.0,16987
2021-08-31,41390.0,42050.0,41110.0,42050.0,202523
2021-09-01,42025.0,42255.0,41860.0,42140.0,131049
2021-09-02,42020.0,42140.0,41620.0,41760.0,75242
2021-09-03,41820.0,42120.0,41820.0,42010.0,278116
2021-09-06,42010.0,42220.0,41925.0,42165.0,68213
