Date,MACD,MACD_Signal,MACD_Histogram,Close
2020-06-30,,,,104.94000244140625
2020-07-31,,,,129.85000610351562
2020-08-31,,,,159.55999755859375
2020-09-30,,,,162.5500030517578
2020-10-31,,,,154.8800048828125
2020-11-30,,,,210.9600067138672
2020-12-31,,,,217.63999938964844
2021-01-31,,,,215.9600067138672
2021-02-28,,,,230.02999877929688
2021-03-31,,,,227.0500030517578
2021-04-30,,,,244.82000732421875
2021-05-31,,,,222.52000427246094
2021-06-30,,,,243.8000030517578
2021-07-31,,,,247.25999450683594
2021-08-31,,,,268.07000732421875
2021-09-30,,,,239.83999633789062
2021-10-31,,,,254.5
2021-11-30,,,,208.3300018310547
2021-12-31,,,,161.50999450683594
2022-01-31,,,,122.29000091552734
2022-02-28,,,,127.5
2022-03-31,,,,135.60000610351562
2022-04-30,,,,99.54000091552734
2022-05-31,,,,87.51000213623047
2022-06-30,,,,61.459999084472656
2022-07-31,-20.09370030120465,,,76.05999755859375
2022-08-31,-23.588206568284633,,,68.91000366210938
2022-09-30,-27.167683641549175,,,54.9900016784668
2022-10-31,-29.2572720065735,,,60.06999969482422
2022-11-30,-29.946752911999752,,,67.7699966430664
2022-12-31,-30.53894704042601,,,62.84000015258789
2023-01-31,-29.148797659367034,,,81.72000122070312
2023-02-28,-28.12553176123842,,,76.7300033569336
2023-03-31,-27.647867380153542,-27.04342905759492,-0.6044383225586216,68.6500015258789
2023-04-30,-27.58556208890252,-27.151855663856445,-0.4337064250460756,60.790000915527344
2023-05-31,-27.254290975725795,-27.172342726230315,-0.08194824949547908,60.38999938964844
2023-06-30,-26.19116639290121,-26.976107459564496,0.7849410666632863,66.56999969482422
2023-07-31,-23.94614103616732,-26.37011417488506,2.4239731387177414,80.52999877929688
2023-08-31,-23.7395125058232,-25.843993841072688,2.1044813352494884,57.650001525878906
2023-09-30,-24.375236704836738,-25.5502424138255,1.1750057089887633,44.2599983215332
2023-10-31,-24.915416650455853,-25.423277261151576,0.5078606106957224,40.25
2023-11-30,-23.205581351021408,-24.979738079125543,1.7741567281041348,63.43000030517578
2023-12-31,-20.49108852629483,-24.082008168559405,3.5909196422645735,77.3499984741211
2024-01-31,-19.11521962759383,-23.088650460366292,3.9734308327724612,65.01000213623047
2024-02-29,-16.66591820304002,-21.80410400890104,5.138185805861017,79.47000122070312
2024-03-31,-14.14938948037819,-20.273161103196472,6.123771622818282,84.58000183105469
2024-04-30,-12.940264393814132,-18.806581761320004,5.8663173675058715,73.0
2024-05-31,-12.55704357429876,-17.556674123915755,4.999630549616995,64.08000183105469
2024-06-30,-12.080992894583815,-16.46153787804937,4.380544983465555,64.48999786376953
2024-07-31,-11.778548455205964,-15.52493999348069,3.7463915382747253,61.880001068115234
2024-08-31,-11.072319292778516,-14.634415853340256,3.5620965605617396,66.08000183105469
2024-09-30,-10.309065250998344,-13.769345732871875,3.4602804818735304,67.12999725341797
2024-10-31,-9.179574678767835,-12.851391522051069,3.671816843283233,72.31999969482422
2024-11-30,-6.895334507620817,-11.66018011916502,4.764845611544203,88.55000305175781
2024-12-31,-5.311097357101616,-10.39036356675234,5.079266209650724,84.98999786376953
2025-01-31,-3.5442892172420244,-9.021148696850277,5.476859479608253,90.81999969482422
2025-02-28,-4.1554302732975685,-8.048005012139736,3.8925747388421676,65.30000305175781
2025-03-31,-5.461988972732826,-7.530801804258354,2.0688128315255288,54.33000183105469
2025-04-30,-6.093144823284405,-7.243270408063565,1.1501255847791603,58.470001220703125
2025-05-31,-6.256550275672552,-7.045926381585363,0.7893761059128108,61.75
2025-06-30,-5.820283294929325,-6.800797764254156,0.9805144693248309,67.93000030517578
2025-07-31,-5.634714841227492,-6.5675811796488235,0.9328663384213316,65.13999938964844
