Date,Stoch_K,Stoch_D,Close
2020-06-30,,,104.1500015258789
2020-07-31,,,107.37999725341797
2020-08-31,,,116.68000030517578
2020-09-30,,,114.36000061035156
2020-10-31,,,109.56999969482422
2020-11-30,,,132.94000244140625
2020-12-31,,,134.85000610351562
2021-01-31,,,126.08000183105469
2021-02-28,,,119.97000122070312
2021-03-31,,,125.29000091552734
2021-04-30,,,132.1300048828125
2021-05-31,,,141.4499969482422
2021-06-30,,,144.8300018310547
2021-07-31,87.66222174564946,,144.02000427246094
2021-08-31,71.81955607915322,,137.02000427246094
2021-09-30,48.7905181006603,69.42409864182099,127.76000213623047
2021-10-31,17.518764839655674,46.04294633982306,115.02999877929688
2021-11-30,2.931519741774335,23.080267560696768,108.80999755859375
2021-12-31,21.333348065957257,13.927877549129088,115.9800033569336
2022-01-31,13.678366692024861,12.64774483325215,108.16999816894531
2022-02-28,44.5676715144953,26.526462090825806,123.20999908447266
2022-03-31,55.12426951555925,37.79010257402647,128.35000610351562
2022-04-30,44.423905438745074,48.03861548959987,123.13999938964844
2022-05-31,65.2700647691634,54.93941324115591,133.2899932861328
2022-06-30,67.8373273142225,59.177099174043654,134.5399932861328
2022-07-31,85.33579759616853,72.81439655985149,143.05999755859375
2022-08-31,87.18424543180356,80.1191234473982,143.9600067138672
2022-09-30,70.19127927081797,80.9037740995967,134.1699981689453
2022-10-31,98.99127825693704,85.45560098651951,151.55999755859375
2022-11-30,94.47702285369355,87.88652679381619,151.4600067138672
2022-12-31,72.80120269382405,88.75650126815155,140.0
2023-01-31,90.41042734852796,85.8962176320152,149.30999755859375
2023-02-28,76.9245099806242,80.04538000765875,142.17999267578125
2023-03-31,79.97059087355998,82.43517606757071,144.83999633789062
2023-04-30,72.03092969066238,76.30867684828219,143.89999389648438
2023-05-31,48.83511599390287,66.94554551937507,137.25
2023-06-30,53.763412681611136,58.20981945539213,138.89999389648438
2023-07-31,49.0803212391146,50.55961663820954,137.77000427246094
2023-08-31,38.45892480982197,47.1008862435159,136.25
2023-09-30,51.357778121926295,46.299008056954285,140.0500030517578
2023-10-31,64.29055711141763,51.3690866810553,143.86000061035156
2023-11-30,86.65985390722804,67.43606304685731,150.4499969482422
2023-12-31,97.62889299959487,82.85976800608017,160.3300018310547
2024-01-31,88.49621895898089,90.92832195526792,161.22999572753906
2024-02-29,93.5413259192649,93.22214595928023,163.3000030517578
2024-03-31,87.60293225614383,89.88015904479653,163.22000122070312
2024-04-30,89.77584378797683,90.30670065446185,164.1699981689453
2024-05-31,99.36459082297169,92.24778895569744,174.9600067138672
2024-06-30,88.76189524993237,92.63410995362695,176.17999267578125
2024-07-31,94.80991836421745,94.31213481237383,182.27999877929688
2024-08-31,91.11231841813012,91.56137734409332,198.72000122070312
2024-09-30,97.652884346779,94.52504037637551,206.36000061035156
2024-10-31,88.8410400471505,92.53541427068654,223.16000366210938
2024-11-30,98.92282417900968,95.13891619097973,246.94000244140625
2024-12-31,73.81839082636843,87.19408501750955,220.72999572753906
2025-01-31,84.48805172582891,85.74308891040234,232.97000122070312
2025-02-28,96.76152973625844,85.02265742948526,269.69000244140625
2025-03-31,91.68720842612035,90.97892996273589,266.7099914550781
2025-04-30,74.89163211336509,87.78012342524796,246.9499969482422
2025-05-31,70.77972223150478,79.1195209236634,242.1999969482422
2025-06-30,66.7217973707542,70.79771723854135,238.25999450683594
2025-07-31,53.72709442859304,63.74287134361734,227.75999450683594
