Date,BB_Upper,BB_Middle,BB_Lower,Close
2020-06-15,,,,82000.0
2020-06-16,,,,85400.0
2020-06-17,,,,86800.0
2020-06-18,,,,86200.0
2020-06-19,,,,85400.0
2020-06-22,,,,84900.0
2020-06-23,,,,84100.0
2020-06-24,,,,86000.0
2020-06-25,,,,84300.0
2020-06-26,,,,84600.0
2020-06-29,,,,83600.0
2020-06-30,,,,85100.0
2020-07-01,,,,85300.0
2020-07-02,,,,84400.0
2020-07-03,,,,85400.0
2020-07-06,,,,86000.0
2020-07-07,,,,84800.0
2020-07-08,,,,83700.0
2020-07-09,,,,83000.0
2020-07-10,87085.7462303007,84690.0,82294.2537696993,82800.0
2020-07-13,86943.08874083638,84740.0,82536.91125916362,83000.0
2020-07-14,86934.7198106668,84615.0,82295.2801893332,82900.0
2020-07-15,86616.68884652908,84425.0,82233.31115347092,83000.0
2020-07-16,86405.45818794984,84250.0,82094.54181205016,82700.0
2020-07-17,86289.13955187738,84125.0,81960.86044812262,82900.0
2020-07-20,86277.26911403096,83990.0,81702.73088596904,82200.0
2020-07-21,86277.26911403096,83990.0,81702.73088596904,84100.0
2020-07-22,85964.2374511866,83850.0,81735.7625488134,83200.0
2020-07-23,85949.06016325898,83755.0,81560.93983674102,82400.0
2020-07-24,85869.53698741189,83710.0,81550.46301258811,83700.0
2020-07-27,85865.54093562384,83670.0,81474.45906437616,82800.0
2020-07-28,85676.27633514693,83570.0,81463.72366485307,83100.0
2020-07-29,85419.7634127945,83465.0,81510.2365872055,83200.0
2020-07-30,85586.43925988699,83510.0,81433.56074011301,85300.0
2020-07-31,85285.36085821033,83380.0,81474.63914178967,82800.0
2020-08-03,84776.3623501564,83170.0,81563.6376498436,81800.0
2020-08-04,84571.92189305356,83010.0,81448.07810694644,81600.0
2020-08-05,84682.52571998312,82860.0,81037.47428001688,80700.0
2020-08-06,84740.12024950382,82765.0,80789.87975049618,81100.0
2020-08-07,84843.58401712158,82655.0,80466.41598287842,80600.0
2020-08-10,84823.44390634946,82575.0,80326.55609365054,81400.0
2020-08-11,84804.52376043201,82495.0,80185.47623956799,81300.0
2020-08-12,84780.35112719281,82395.0,80009.64887280719,81000.0
