Date,Tenkan,Kijun,Senkou_A,Senkou_B,Close
2021-04-16,253233.4765625,246562.9375,249898.20703125,235939.484375,249000.0
2021-04-19,253233.4765625,246562.9375,249898.20703125,235939.484375,241500.0
2021-04-20,253233.4765625,247551.1640625,250392.3203125,235939.484375,242000.0
2021-04-21,246809.9921875,247551.1640625,247180.578125,235939.484375,242000.0
2021-04-22,242115.9140625,247551.1640625,244833.5390625,235939.484375,255000.0
2021-04-23,243160.9609375,247551.1640625,245356.0625,235939.484375,258500.0
2021-04-26,243660.9609375,247551.1640625,245606.0625,235939.484375,259000.0
2021-04-27,244660.9609375,247551.1640625,246106.0625,235939.484375,256000.0
2021-04-28,252000.0,247551.1640625,249775.58203125,235939.484375,244000.0
2021-04-29,252000.0,248786.453125,250393.2265625,235939.484375,243500.0
2021-04-30,252000.0,253233.4765625,252616.73828125,235939.484375,243000.0
2021-05-03,249250.0,253233.4765625,251241.73828125,235939.484375,236500.0
2021-05-04,249250.0,253233.4765625,251241.73828125,235939.484375,239500.0
2021-05-06,249250.0,253233.4765625,251241.73828125,235939.484375,251000.0
2021-05-07,249250.0,253233.4765625,251241.73828125,235939.484375,252500.0
2021-05-10,249250.0,253233.4765625,251241.73828125,235939.484375,258500.0
2021-05-11,248000.0,253233.4765625,250616.73828125,235939.484375,259000.0
2021-05-12,249000.0,253233.4765625,251116.73828125,235939.484375,246000.0
2021-05-13,249000.0,253233.4765625,251116.73828125,235939.484375,240500.0
2021-05-14,249000.0,253233.4765625,251116.73828125,235939.484375,242500.0
2021-05-17,249000.0,246809.9921875,247904.99609375,235939.484375,248500.0
2021-05-18,250500.0,244660.9609375,247580.48046875,235939.484375,260500.0
2021-05-20,252000.0,245410.9609375,248705.48046875,235939.484375,266000.0
2021-05-21,255000.0,248410.9609375,251705.48046875,235939.484375,261500.0
2021-05-24,255000.0,248410.9609375,251705.48046875,235939.484375,263500.0
2021-05-25,255000.0,253000.0,254000.0,236186.5390625,260500.0
2021-05-26,255000.0,253000.0,254000.0,246562.9375,259000.0
2021-05-27,256500.0,253000.0,254750.0,246562.9375,253000.0
2021-05-28,257250.0,253000.0,255125.0,247551.1640625,261000.0
2021-05-31,260500.0,253000.0,256750.0,247551.1640625,265000.0
