Date,Open,High,Low,Close,Volume
2020-05-17,104.9000015258789,108.45999908447266,102.31999969482422,106.22000122070312,4176200
2020-05-24,109.33999633789062,118.18000030517578,108.9800033569336,117.0199966430664,8377900
2020-05-31,120.0,121.37999725341797,114.58999633789062,118.54000091552734,8371600
2020-06-07,118.1500015258789,137.8800048828125,116.80999755859375,136.16000366210938,11143300
2020-06-14,137.0500030517578,138.22000122070312,123.05999755859375,126.91000366210938,12621500
2020-06-21,123.37999725341797,133.3699951171875,122.83000183105469,127.3499984741211,11777300
2020-06-28,127.16000366210938,129.72999572753906,124.80000305175781,125.8499984741211,9024000
2020-07-05,126.13999938964844,130.0500030517578,123.41000366210938,128.4199981689453,6101200
2020-07-12,130.88999938964844,135.22999572753906,129.72000122070312,131.22000122070312,7566600
2020-07-19,133.32000732421875,134.80999755859375,126.52999877929688,133.9499969482422,8025600
2020-07-26,134.72000122070312,139.8800048828125,128.55999755859375,131.61000061035156,11285600
2020-08-02,133.61000061035156,145.89999389648438,132.32000732421875,145.5800018310547,12082500
2020-08-09,146.92999267578125,149.49000549316406,142.39999389648438,144.3699951171875,7926800
2020-08-16,143.83999633789062,149.32000732421875,140.77000427246094,146.1199951171875,7207800
2020-08-23,147.3699951171875,147.67999267578125,139.36000061035156,142.0500030517578,7142000
2020-08-30,143.6699981689453,144.25,138.6999969482422,143.6199951171875,6865400
2020-09-06,143.4499969482422,154.24000549316406,133.86000061035156,139.00999450683594,12371900
2020-09-13,133.10000610351562,140.64999389648438,130.72000122070312,136.14999389648438,9060000
2020-09-20,137.44000244140625,142.8300018310547,133.6699981689453,136.00999450683594,8644600
2020-09-27,133.5800018310547,139.6999969482422,131.44000244140625,138.0,9169500
2020-10-04,140.6300048828125,152.47999572753906,139.02000427246094,146.8300018310547,8918800
2020-10-11,148.10000610351562,154.83999633789062,146.5399932861328,154.27999877929688,8330200
2020-10-18,156.47999572753906,158.61000061035156,149.60000610351562,153.14999389648438,7528300
2020-10-25,154.50999450683594,156.97999572753906,147.3300018310547,149.75999450683594,4724300
2020-11-01,148.38999938964844,148.75999450683594,139.08999633789062,141.2899932861328,7375100
2020-11-08,143.3800048828125,149.32000732421875,134.83999633789062,146.74000549316406,18506400
2020-11-15,151.35000610351562,151.88999938964844,136.86000061035156,141.5,10259200
2020-11-22,141.0,143.74000549316406,136.0,140.38999938964844,8970000
2020-11-29,141.0500030517578,141.77999877929688,134.27999877929688,136.16000366210938,9555200
2020-12-06,136.3800048828125,150.27999877929688,136.3800048828125,150.1699981689453,10019200
2020-12-13,151.41000366210938,156.0,138.61000061035156,139.24000549316406,11661100
2020-12-20,140.0,150.2899932861328,137.94000244140625,148.19000244140625,11842600
2020-12-27,145.5500030517578,152.94000244140625,145.1699981689453,151.2100067138672,4719400
2021-01-03,152.75999450683594,154.83999633789062,149.6199951171875,152.8800048828125,4200700
2021-01-10,153.3300018310547,165.99000549316406,148.02000427246094,163.47999572753906,9636700
2021-01-17,160.1199951171875,163.35000610351562,150.1300048828125,152.0,8653900
2021-01-24,154.52999877929688,168.9499969482422,154.00999450683594,161.27000427246094,7110000
2021-01-31,166.63999938964844,188.33999633789062,154.4499969482422,169.25,22170100
2021-02-07,174.3000030517578,189.6999969482422,172.88999938964844,178.9499969482422,20100500
2021-02-14,180.32000732421875,190.33999633789062,178.52999877929688,189.5,10682500
2021-02-21,191.2100067138672,195.82000732421875,185.52999877929688,192.1699981689453,9025300
2021-02-28,189.47999572753906,192.0,173.91000366210938,177.82000732421875,13969100
2021-03-07,181.10000610351562,187.30999755859375,159.5399932861328,173.44000244140625,12089200
2021-03-14,171.2899932861328,176.64999389648438,161.0,172.30999755859375,12897800
2021-03-21,173.60000610351562,184.33999633789062,171.67999267578125,175.7899932861328,9970700
2021-03-28,177.3300018310547,182.5500030517578,166.0500030517578,182.17999267578125,8525200
2021-04-04,180.11000061035156,188.52000427246094,176.11000061035156,187.6999969482422,8209100
2021-04-11,191.41000366210938,191.97000122070312,185.9600067138672,188.72999572753906,7507500
2021-04-18,187.64999389648438,194.49000549316406,186.08999633789062,189.75999450683594,7094200
2021-04-25,188.67999267578125,193.9499969482422,181.3000030517578,190.9199981689453,7835700
2021-05-02,194.83999633789062,204.0,180.58999633789062,181.3300018310547,17800400
2021-05-09,182.0,183.1699981689453,170.10000610351562,175.1199951171875,13155500
2021-05-16,171.44000244140625,171.6199951171875,160.2100067138672,165.4499969482422,11997900
2021-05-23,163.97999572753906,170.47999572753906,159.77000427246094,166.6999969482422,7205700
2021-05-30,168.1699981689453,172.47000122070312,166.5,170.0,7895300
2021-06-06,171.02000427246094,173.22999572753906,167.14999389648438,170.41000366210938,5184000
2021-06-13,169.5399932861328,172.14999389648438,167.67999267578125,171.1199951171875,5540400
2021-06-20,171.6999969482422,174.2899932861328,167.5,168.30999755859375,7292200
2021-06-27,168.74000549316406,181.1999969482422,168.6300048828125,178.6999969482422,8302000
2021-07-04,179.22999572753906,193.63999938964844,179.10000610351562,191.32000732421875,10352600
2021-07-11,190.6199951171875,192.6999969482422,182.24000549316406,189.57000732421875,5113200
2021-07-18,190.1300048828125,197.60000610351562,187.72000122070312,188.11000061035156,6685900
2021-07-25,185.33999633789062,193.42999267578125,183.97000122070312,192.66000366210938,6521700
2021-08-01,192.27000427246094,197.6199951171875,177.6699981689453,184.50999450683594,13585100
2021-08-08,184.92999267578125,189.67999267578125,183.89999389648438,186.02999877929688,8556300
2021-08-15,186.3000030517578,186.97000122070312,181.5500030517578,183.38999938964844,4738000
2021-08-22,182.0,182.3000030517578,173.3000030517578,178.8800048828125,6365300
2021-08-29,179.99000549316406,184.1699981689453,178.6199951171875,183.4499969482422,5069000
2021-09-05,184.6699981689453,186.8699951171875,180.58999633789062,183.00999450683594,6384400
2021-09-12,183.3300018310547,183.6999969482422,176.38999938964844,177.3300018310547,3908400
2021-09-19,178.63999938964844,182.24000549316406,173.60000610351562,175.25999450683594,7317000
2021-09-26,172.0,175.44000244140625,167.85000610351562,172.64999389648438,5697900
2021-10-03,170.50999450683594,173.7899932861328,161.7899932861328,163.9199981689453,7086200
2021-10-10,163.1999969482422,165.36000061035156,157.5500030517578,160.86000061035156,7958100
2021-10-17,160.66000366210938,162.41000366210938,154.52999877929688,160.52999877929688,7734800
2021-10-24,159.3300018310547,167.85000610351562,158.14999389648438,165.1199951171875,6576300
2021-10-31,165.8800048828125,170.30999755859375,163.16000366210938,167.1300048828125,6320200
2021-11-07,167.30999755859375,174.13999938964844,159.1999969482422,164.05999755859375,13536600
2021-11-14,164.91000366210938,169.2899932861328,159.60000610351562,164.55999755859375,10243000
