Date,BB_Upper,BB_Middle,BB_Lower,Close
2020-06-15,,,,141.52000427246094
2020-06-16,,,,163.7100067138672
2020-06-17,,,,159.97000122070312
2020-06-18,,,,161.07000732421875
2020-06-19,,,,159.94000244140625
2020-06-22,,,,160.4499969482422
2020-06-23,,,,159.33999633789062
2020-06-24,,,,157.02999877929688
2020-06-25,,,,162.86000061035156
2020-06-26,,,,162.8300018310547
2020-06-29,,,,162.72000122070312
2020-06-30,,,,164.17999267578125
2020-07-01,,,,163.3000030517578
2020-07-02,,,,163.8699951171875
2020-07-06,,,,166.88999938964844
2020-07-07,,,,166.75
2020-07-08,,,,169.1300048828125
2020-07-09,,,,166.4499969482422
2020-07-10,,,,163.36000061035156
2020-07-13,172.79306690108967,161.87250061035155,150.95193431961343,162.0800018310547
2020-07-14,168.66679036933402,162.99050064086913,157.31421091240423,163.8800048828125
2020-07-15,168.84779269635888,163.0775001525879,157.30720760881692,165.4499969482422
2020-07-16,168.97268314199317,163.32900009155273,157.68531704111228,165.0
2020-07-17,169.2282208267565,163.57350006103516,157.9187792953138,165.9600067138672
2020-07-20,169.51729395481888,163.9284996032715,158.3397052517241,167.0399932861328
2020-07-21,169.55204115615012,164.17099990844727,158.78995866074442,165.3000030517578
2020-07-22,169.35261758809736,164.44599990844728,159.5393822287972,164.83999633789062
2020-07-23,168.489684795535,164.67050018310547,160.85131557067595,161.52000427246094
2020-07-24,168.87311345063216,164.50449981689454,160.1358861831569,159.5399932861328
2020-07-27,169.0438466999895,164.38799972534179,159.73215275069407,160.5
2020-07-28,169.045459677672,164.38449935913087,159.72353904058974,162.64999389648438
2020-07-29,169.0635471133921,164.26299972534179,159.46245233729147,161.75
2020-07-30,170.6160352919532,163.7479995727539,156.8799638535546,153.0
2020-07-31,172.09930181293166,163.06899948120116,154.03869714947066,150.2899932861328
2020-08-03,172.24469892904725,162.3664993286133,152.48829972817933,152.83999633789062
2020-08-04,171.95085360405793,161.77149963378906,151.5921456635202,154.85000610351562
2020-08-05,171.11404920006353,161.03199920654296,150.9499492130224,154.33999633789062
2020-08-06,170.70851518077328,160.35349960327147,149.99848402576967,152.8800048828125
2020-08-07,170.57222165836106,159.83199920654297,149.0917767547249,152.92999267578125
2020-08-10,170.46188171332628,159.37799911499025,148.2941165166542,153.0
2020-08-11,170.21978952701645,158.71549911499022,147.211208702964,150.6300048828125
2020-08-12,169.43784632201064,158.07049942016602,146.7031525183214,152.5500030517578
2020-08-13,168.70496030143232,157.34349975585937,145.98203921028642,150.4600067138672
2020-08-14,167.60613044877707,156.54999923706055,145.49386802534403,150.08999633789062
2020-08-17,165.9167144554057,155.77449951171874,145.6322845680318,151.52999877929688
2020-08-18,164.36562054854582,155.16499938964844,145.96437823075107,153.11000061035156
2020-08-19,162.6620560109966,154.53749923706056,146.41294246312452,152.2899932861328
2020-08-20,161.5959176077581,154.02849884033202,146.46108007290593,151.33999633789062
2020-08-21,160.90918994042113,153.51449890136718,146.11980786231322,149.25999450683594
2020-08-24,159.81441179143525,152.96549911499022,146.1165864385452,149.52000427246094
2020-08-25,157.667365229347,152.31699905395507,146.96663287856313,149.67999267578125
2020-08-26,155.0300382665824,151.69249877929687,148.35495929201133,149.25999450683594
2020-08-27,154.97198255624633,151.49099884033203,148.01001512441772,148.97000122070312
2020-08-28,155.24066518097578,151.34349899291993,147.44633280486408,147.33999633789062
2020-08-31,155.1566664620165,151.12099914550782,147.08533182899916,148.38999938964844
2020-09-01,154.72539412964025,150.7434989929199,146.76160385619957,147.3000030517578
2020-09-02,154.15420157025181,150.50399932861328,146.85379708697474,149.5500030517578
2020-09-03,153.84460201265824,150.3109992980957,146.77739658353318,149.02000427246094
2020-09-04,153.54848461918502,150.20999984741212,146.87151507563922,150.91000366210938
2020-09-08,153.12622545408198,150.0254997253418,146.92477399660163,149.30999755859375
2020-09-09,153.29869293300777,150.09249954223634,146.8863061514649,151.97000122070312
2020-09-10,153.19219188926317,149.7759994506836,146.35980701210403,146.22000122070312
2020-09-11,153.13444434382868,149.65749893188476,146.18055351994084,148.08999633789062
2020-09-14,153.08528552557127,149.60299911499024,146.12071270440921,149.0
2020-09-15,152.90809227307736,149.53049926757814,146.15290626207891,150.0800018310547
2020-09-16,152.45747516310948,149.4229995727539,146.3885239823983,150.9600067138672
2020-09-17,152.50130466239074,149.43199996948243,146.36269527657413,152.47000122070312
2020-09-18,153.19319308027343,149.57350006103516,145.9538070417969,154.1699981689453
2020-09-21,153.35213763582684,149.66949996948242,145.986862303138,151.17999267578125
2020-09-22,153.3693590713116,149.68649978637694,146.00364050144228,149.86000061035156
2020-09-23,153.37624932582528,149.69300003051757,146.00975073520985,149.80999755859375
2020-09-24,153.36951901452923,149.67050018310547,145.97148135168172,148.80999755859375
2020-09-25,153.4278930818181,149.7349998474121,146.0421066130061,150.25999450683594
2020-09-28,153.3812016658127,149.77300033569335,146.164799005574,148.10000610351562
2020-09-29,153.5471509774264,149.66650009155273,145.78584920567906,146.25999450683594
2020-09-30,153.50728599794633,149.7025001525879,145.89771430722948,148.02000427246094
2020-10-01,153.91768158830521,149.43949966430665,144.9613177403081,144.2899932861328
2020-10-02,154.09167253778912,149.24899978637694,144.40632703496476,145.2100067138672
2020-10-05,153.94298676341973,149.0349998474121,144.1270129314045,146.6300048828125
2020-10-06,154.1254565129874,148.77600021362304,143.42654391425867,144.1300048828125
2020-10-07,153.77258949288162,148.62550048828126,143.4784114836809,148.9600067138672
2020-10-08,154.4261726770417,148.9895004272461,143.5528281774505,153.5
2020-10-09,155.8379752842125,149.4290008544922,143.02002642477188,156.8800048828125
2020-10-12,156.47546516342877,149.7035011291504,142.93153709487203,154.49000549316406
2020-10-13,156.47546516342877,149.7035011291504,142.93153709487203,150.0800018310547
2020-10-14,156.34536829918136,149.5785011291504,142.81163395911943,148.4600067138672
2020-10-15,156.02905101012743,149.29400100708008,142.55895100403274,146.77999877929688
2020-10-16,155.37013235084436,148.8915008544922,142.41286935814003,146.1199951171875
2020-10-19,155.37498309637155,148.472501373291,141.57001965021047,142.8000030517578
2020-10-20,155.3446719466765,148.15900115966798,140.97333037265946,143.58999633789062
2020-10-21,155.463682712159,147.73400115966797,140.00431960717694,141.30999755859375
2020-10-22,155.52503745973644,147.3760009765625,139.22696449338855,141.64999389648438
2020-10-23,155.29550646598437,146.98200149536132,138.66849652473826,142.3800048828125
2020-10-26,155.2663424575487,146.66200103759766,138.05765961764664,141.6999969482422
2020-10-27,156.6921936092106,145.9440010070801,135.1958084049496,131.89999389648438
2020-10-28,157.54635637255987,145.1085006713867,132.67064497021354,131.30999755859375
2020-10-29,158.11308540730724,144.52150115966796,130.9299169120287,132.5500030517578
