ticker,name
^GSPC,S&P 500
VOO,Vanguard S&P 500 ETF
SPMO,Invesco S&P 500 Momentum ETF
MGC,Vanguard Mega Cap Index Fund
GLD,SPDR Gold Shares
QQQ,Invesco QQQ Trust
VUG,Vanguard Growth Index Fund ETF Shares
IGV,iShares Expanded Tech-Software Sector ETF
VIG,Vanguard Dividend Appreciation Index Fund ETF Shares
VDE,Vanguard Energy Index Fund ETF Shares
TLT,iShares 20+ Year Treasury Bond ETF
TMF,Direxion Daily 20+ Year Treasury Bull 3X Shares
TMV,Direxion Daily 20+ Year Treasury Bear 3X Shares
USMV,iShares MSCI USA Min Vol Factor ETF
